year,state,state_name,year_num,x,rate_per_1000,rank,neg_rank,label
2017-18,ACT,Australian Capital Territory,2018,2018.0,32.2,1,-1.0,
2017-18,L,L,2017,2017.0,32.2,1,-1.0,1
2017-18,NT,Northern Territory,2018,2018.0,31.1,2,-2.0,
2017-18,L,L,2017,2017.0,31.1,2,-2.0,2
2017-18,Qld,Queensland,2018,2018.0,29.4,3,-3.0,
2017-18,L,L,2017,2017.0,29.4,3,-3.0,3
2017-18,NSW,New South Wales,2018,2018.0,29.0,4,-4.0,
2017-18,L,L,2017,2017.0,29.0,4,-4.0,4
2017-18,Vic,Victoria,2018,2018.0,28.2,5,-5.0,
2017-18,L,L,2017,2017.0,28.2,5,-5.0,5
2017-18,SA,South Australia,2018,2018.0,27.2,6,-6.0,
2017-18,L,L,2017,2017.0,27.2,6,-6.0,6
2017-18,Tas,Tasmania,2018,2018.0,26.9,7,-7.0,
2017-18,L,L,2017,2017.0,26.9,7,-7.0,7
2017-18,WA,Western Australia,2018,2018.0,26.9,8,-8.0,
2017-18,L,L,2017,2017.0,26.9,8,-8.0,8
2018-19,ACT,Australian Capital Territory,2019,2019.0,34.1,1,-1.0,
2018-19,NSW,New South Wales,2019,2019.0,33.2,2,-2.0,
2018-19,Qld,Queensland,2019,2019.0,33.0,3,-3.0,
2018-19,Vic,Victoria,2019,2019.0,32.8,4,-4.0,
2018-19,SA,South Australia,2019,2019.0,29.5,5,-5.0,
2018-19,Tas,Tasmania,2019,2019.0,29.4,6,-6.0,
2018-19,WA,Western Australia,2019,2019.0,29.3,7,-7.0,
2018-19,NT,Northern Territory,2019,2019.0,28.8,8,-8.0,
2019-20,Vic,Victoria,2020,2020.0,43.8,1,-1.0,
2019-20,NSW,New South Wales,2020,2020.0,42.4,2,-2.0,
2019-20,Qld,Queensland,2020,2020.0,40.6,3,-3.0,
2019-20,ACT,Australian Capital Territory,2020,2020.0,40.0,4,-4.0,
2019-20,SA,South Australia,2020,2020.0,37.1,5,-5.0,
2019-20,Tas,Tasmania,2020,2020.0,37.0,6,-6.0,
2019-20,WA,Western Australia,2020,2020.0,34.4,7,-7.0,
2019-20,NT,Northern Territory,2020,2020.0,23.1,8,-8.0,
2020-21,Vic,Victoria,2021,2021.0,59.3,1,-1.0,
2020-21,NSW,New South Wales,2021,2021.0,55.7,2,-2.0,
2020-21,SA,South Australia,2021,2021.0,52.6,3,-3.0,
2020-21,Qld,Queensland,2021,2021.0,51.1,4,-4.0,
2020-21,ACT,Australian Capital Territory,2021,2021.0,49.7,5,-5.0,
2020-21,Tas,Tasmania,2021,2021.0,47.7,6,-6.0,
2020-21,WA,Western Australia,2021,2021.0,45.8,7,-7.0,
2020-21,NT,Northern Territory,2021,2021.0,32.7,8,-8.0,
2021-22,NSW,New South Wales,2022,2022.0,61.8,1,-1.0,
2021-22,SA,South Australia,2022,2022.0,61.5,2,-2.0,
2021-22,Vic,Victoria,2022,2022.0,59.6,3,-3.0,
2021-22,Qld,Queensland,2022,2022.0,56.2,4,-4.0,
2021-22,Tas,Tasmania,2022,2022.0,52.5,5,-5.0,
2021-22,WA,Western Australia,2022,2022.0,50.9,6,-6.0,
2021-22,ACT,Australian Capital Territory,2022,2022.0,48.8,7,-7.0,
2021-22,NT,Northern Territory,2022,2022.0,37.0,8,-8.0,
2022-23,SA,South Australia,2023,2023.0,77.4,1,-1.0,
2022-23,Qld,Queensland,2023,2023.0,71.8,2,-2.0,
2022-23,Vic,Victoria,2023,2023.0,70.6,3,-3.0,
2022-23,NSW,New South Wales,2023,2023.0,68.2,4,-4.0,
2022-23,WA,Western Australia,2023,2023.0,61.4,5,-5.0,
2022-23,Tas,Tasmania,2023,2023.0,61.3,6,-6.0,
2022-23,ACT,Australian Capital Territory,2023,2023.0,50.7,7,-7.0,
2022-23,NT,Northern Territory,2023,2023.0,45.2,8,-8.0,
2023-24,SA,South Australia,2024,2024.0,75.7,1,-1.0,
2023-24,Qld,Queensland,2024,2024.0,74.7,2,-2.0,
2023-24,Vic,Victoria,2024,2024.0,72.3,3,-3.0,
2023-24,NSW,New South Wales,2024,2024.0,72.0,4,-4.0,
2023-24,Tas,Tasmania,2024,2024.0,59.9,5,-5.0,
2023-24,WA,Western Australia,2024,2024.0,54.6,6,-6.0,
2023-24,ACT,Australian Capital Territory,2024,2024.0,47.4,7,-7.0,
2023-24,NT,Northern Territory,2024,2024.0,38.4,8,-8.0,
2024-25,SA,South Australia,2025,2025.0,81.0,1,-1.0,
2024-25,R,R,2027,2026.4672375690607,81.0,1,-1.0,1 South Australia
