year,programme,rate_per_1000
2017-18,Home Care Packages,28.3
2018-19,Home Care Packages,31.8
2019-20,Home Care Packages,40.3
2020-21,Home Care Packages,47.9
2021-22,Home Care Packages,57.5
2022-23,Home Care Packages,67.5
2023-24,Home Care Packages,68.4
2024-25,Home Care Packages,69.8
2017-18,Home support (CHSP),189.3
2018-19,Home support (CHSP),199.7
2019-20,Home support (CHSP),194.6
2020-21,Home support (CHSP),186.0
2021-22,Home support (CHSP),178.9
2022-23,Home support (CHSP),173.7
2023-24,Home support (CHSP),169.9
2024-25,Home support (CHSP),165.4
2017-18,Residential aged care,58.1
2018-19,Residential aged care,57.1
2019-20,Residential aged care,56.0
2020-21,Residential aged care,54.4
2021-22,Residential aged care,53.6
2022-23,Residential aged care,53.3
2023-24,Residential aged care,51.7
2024-25,Residential aged care,51.5
2017-18,Residential respite,14.9
2018-19,Residential respite,15.5
2019-20,Residential respite,15.4
2020-21,Residential respite,15.3
2021-22,Residential respite,15.6
2022-23,Residential respite,17.0
2023-24,Residential respite,16.9
2024-25,Residential respite,16.3
2017-18,Transition care,6.0
2018-19,Transition care,5.7
2019-20,Transition care,5.6
2020-21,Transition care,5.3
2021-22,Transition care,4.7
2022-23,Transition care,3.6
2023-24,Transition care,3.4
2024-25,Transition care,4.9
