year,programme,real_expenditure_m
2014-15,Assessment & information,171.5
2015-16,Assessment & information,164.1
2016-17,Assessment & information,242.9
2017-18,Assessment & information,254.6
2018-19,Assessment & information,276.4
2019-20,Assessment & information,278.1
2020-21,Assessment & information,280.9
2021-22,Assessment & information,353.4
2022-23,Assessment & information,627.4
2023-24,Assessment & information,665.0
2024-25,Assessment & information,735.2
2014-15,Home care & support,5244.1
2015-16,Home care & support,5485.0
2016-17,Home care & support,5597.2
2017-18,Home care & support,6280.9
2018-19,Home care & support,7103.0
2019-20,Home care & support,7956.5
2020-21,Home care & support,9148.4
2021-22,Home care & support,9393.5
2022-23,Home care & support,10273.2
2023-24,Home care & support,11887.9
2024-25,Home care & support,12913.3
2018-19,Quality & Safety Commission,52.1
2019-20,Quality & Safety Commission,108.4
2020-21,Quality & Safety Commission,141.7
2021-22,Quality & Safety Commission,196.7
2022-23,Quality & Safety Commission,238.2
2023-24,Quality & Safety Commission,278.6
2024-25,Quality & Safety Commission,338.4
2014-15,Residential & flexible care,14526.2
2015-16,Residential & flexible care,15643.3
2016-17,Residential & flexible care,16259.9
2017-18,Residential & flexible care,16265.8
2018-19,Residential & flexible care,16720.3
2019-20,Residential & flexible care,17043.7
2020-21,Residential & flexible care,17708.1
2021-22,Residential & flexible care,17969.5
2022-23,Residential & flexible care,18749.2
2023-24,Residential & flexible care,23452.0
2024-25,Residential & flexible care,25420.8
2014-15,Workforce & quality,338.9
2015-16,Workforce & quality,297.1
2016-17,Workforce & quality,152.9
2017-18,Workforce & quality,145.6
2018-19,Workforce & quality,176.8
2019-20,Workforce & quality,173.4
2020-21,Workforce & quality,923.9
2021-22,Workforce & quality,829.2
2022-23,Workforce & quality,1058.2
2023-24,Workforce & quality,1429.5
2024-25,Workforce & quality,391.6
