state,programme,point_id,x,y,state_width_pct,programme_share_pct,population_65plus_000,rate_per_1000,year,x_centre
NSW,Residential aged care,1,0.0,0.0,32.001,18.98,1570.9,51.5,2024-25,16.0005
NSW,Residential aged care,2,32.0011,0.0,32.001,18.98,1570.9,51.5,2024-25,16.0005
NSW,Residential aged care,3,32.0011,18.9757,32.001,18.98,1570.9,51.5,2024-25,16.0005
NSW,Residential aged care,4,0.0,18.9757,32.001,18.98,1570.9,51.5,2024-25,16.0005
NSW,Home Care Packages,1,0.0,18.9757,32.001,25.39,1570.9,68.9,2024-25,16.0005
NSW,Home Care Packages,2,32.0011,18.9757,32.001,25.39,1570.9,68.9,2024-25,16.0005
NSW,Home Care Packages,3,32.0011,44.3626,32.001,25.39,1570.9,68.9,2024-25,16.0005
NSW,Home Care Packages,4,0.0,44.3626,32.001,25.39,1570.9,68.9,2024-25,16.0005
NSW,Home support (CHSP),1,0.0,44.3626,32.001,55.64,1570.9,151.0,2024-25,16.0005
NSW,Home support (CHSP),2,32.0011,44.3626,32.001,55.64,1570.9,151.0,2024-25,16.0005
NSW,Home support (CHSP),3,32.0011,100.0,32.001,55.64,1570.9,151.0,2024-25,16.0005
NSW,Home support (CHSP),4,0.0,100.0,32.001,55.64,1570.9,151.0,2024-25,16.0005
Vic,Residential aged care,1,32.0011,0.0,24.83,17.61,1218.9,54.9,2024-25,44.4163
Vic,Residential aged care,2,56.8315,0.0,24.83,17.61,1218.9,54.9,2024-25,44.4163
Vic,Residential aged care,3,56.8315,17.6131,24.83,17.61,1218.9,54.9,2024-25,44.4163
Vic,Residential aged care,4,32.0011,17.6131,24.83,17.61,1218.9,54.9,2024-25,44.4163
Vic,Home Care Packages,1,32.0011,17.6131,24.83,24.03,1218.9,74.9,2024-25,44.4163
Vic,Home Care Packages,2,56.8315,17.6131,24.83,24.03,1218.9,74.9,2024-25,44.4163
Vic,Home Care Packages,3,56.8315,41.6426,24.83,24.03,1218.9,74.9,2024-25,44.4163
Vic,Home Care Packages,4,32.0011,41.6426,24.83,24.03,1218.9,74.9,2024-25,44.4163
Vic,Home support (CHSP),1,32.0011,41.6426,24.83,58.36,1218.9,181.9,2024-25,44.4163
Vic,Home support (CHSP),2,56.8315,41.6426,24.83,58.36,1218.9,181.9,2024-25,44.4163
Vic,Home support (CHSP),3,56.8315,100.0,24.83,58.36,1218.9,181.9,2024-25,44.4163
Vic,Home support (CHSP),4,32.0011,100.0,24.83,58.36,1218.9,181.9,2024-25,44.4163
Qld,Residential aged care,1,56.8315,0.0,20.351,16.72,999.0,50.4,2024-25,67.0069
Qld,Residential aged care,2,77.1823,0.0,20.351,16.72,999.0,50.4,2024-25,67.0069
Qld,Residential aged care,3,77.1823,16.722,20.351,16.72,999.0,50.4,2024-25,67.0069
Qld,Residential aged care,4,56.8315,16.722,20.351,16.72,999.0,50.4,2024-25,67.0069
Qld,Home Care Packages,1,56.8315,16.722,20.351,25.95,999.0,78.2,2024-25,67.0069
Qld,Home Care Packages,2,77.1823,16.722,20.351,25.95,999.0,78.2,2024-25,67.0069
Qld,Home Care Packages,3,77.1823,42.6676,20.351,25.95,999.0,78.2,2024-25,67.0069
Qld,Home Care Packages,4,56.8315,42.6676,20.351,25.95,999.0,78.2,2024-25,67.0069
Qld,Home support (CHSP),1,56.8315,42.6676,20.351,57.33,999.0,172.8,2024-25,67.0069
Qld,Home support (CHSP),2,77.1823,42.6676,20.351,57.33,999.0,172.8,2024-25,67.0069
Qld,Home support (CHSP),3,77.1823,100.0,20.351,57.33,999.0,172.8,2024-25,67.0069
Qld,Home support (CHSP),4,56.8315,100.0,20.351,57.33,999.0,172.8,2024-25,67.0069
WA,Residential aged care,1,77.1823,0.0,10.22,19.17,501.7,47.3,2024-25,82.2924
WA,Residential aged care,2,87.4025,0.0,10.22,19.17,501.7,47.3,2024-25,82.2924
WA,Residential aged care,3,87.4025,19.1653,10.22,19.17,501.7,47.3,2024-25,82.2924
WA,Residential aged care,4,77.1823,19.1653,10.22,19.17,501.7,47.3,2024-25,82.2924
WA,Home Care Packages,1,77.1823,19.1653,10.22,25.49,501.7,62.9,2024-25,82.2924
WA,Home Care Packages,2,87.4025,19.1653,10.22,25.49,501.7,62.9,2024-25,82.2924
