year,age_band,band_type,population,series,population_millions
1971,65 and over,Cumulative,1090373.0,Actual,1.09
1972,65 and over,Cumulative,1118306.0,Actual,1.118
1973,65 and over,Cumulative,1148688.0,Actual,1.149
1974,65 and over,Cumulative,1181158.0,Actual,1.181
1975,65 and over,Cumulative,1211568.0,Actual,1.212
1976,65 and over,Cumulative,1252827.0,Actual,1.253
1977,65 and over,Cumulative,1287583.0,Actual,1.288
1978,65 and over,Cumulative,1326812.0,Actual,1.327
1979,65 and over,Cumulative,1369728.0,Actual,1.37
1980,65 and over,Cumulative,1413277.0,Actual,1.413
1981,65 and over,Cumulative,1454999.0,Actual,1.455
1982,65 and over,Cumulative,1498768.0,Actual,1.499
1983,65 and over,Cumulative,1535760.0,Actual,1.536
1984,65 and over,Cumulative,1573786.0,Actual,1.574
1985,65 and over,Cumulative,1621029.0,Actual,1.621
1986,65 and over,Cumulative,1682111.0,Actual,1.682
1987,65 and over,Cumulative,1739287.0,Actual,1.739
1988,65 and over,Cumulative,1791383.0,Actual,1.791
1989,65 and over,Cumulative,1846495.0,Actual,1.846
1990,65 and over,Cumulative,1893381.0,Actual,1.893
1991,65 and over,Cumulative,1950715.0,Actual,1.951
1992,65 and over,Cumulative,2001848.0,Actual,2.002
1993,65 and over,Cumulative,2052648.0,Actual,2.053
1994,65 and over,Cumulative,2099825.0,Actual,2.1
1995,65 and over,Cumulative,2143279.0,Actual,2.143
1996,65 and over,Cumulative,2192239.0,Actual,2.192
1997,65 and over,Cumulative,2237017.0,Actual,2.237
1998,65 and over,Cumulative,2278504.0,Actual,2.279
1999,65 and over,Cumulative,2321626.0,Actual,2.322
2000,65 and over,Cumulative,2364260.0,Actual,2.364
2001,65 and over,Cumulative,2419070.0,Actual,2.419
2002,65 and over,Cumulative,2465669.0,Actual,2.466
2003,65 and over,Cumulative,2511327.0,Actual,2.511
2004,65 and over,Cumulative,2558857.0,Actual,2.559
2005,65 and over,Cumulative,2611879.0,Actual,2.612
2006,65 and over,Cumulative,2664064.0,Actual,2.664
2007,65 and over,Cumulative,2736610.0,Actual,2.737
2008,65 and over,Cumulative,2805167.0,Actual,2.805
2009,65 and over,Cumulative,2890566.0,Actual,2.891
2010,65 and over,Cumulative,2986675.0,Actual,2.987
2011,65 and over,Cumulative,3087911.0,Actual,3.088
2012,65 and over,Cumulative,3213853.0,Actual,3.214
2013,65 and over,Cumulative,3330378.0,Actual,3.33
2014,65 and over,Cumulative,3442148.0,Actual,3.442
2015,65 and over,Cumulative,3554304.0,Actual,3.554
2016,65 and over,Cumulative,3672251.0,Actual,3.672
2017,65 and over,Cumulative,3788261.0,Actual,3.788
2018,65 and over,Cumulative,3908143.0,Actual,3.908
2019,65 and over,Cumulative,4033157.0,Actual,4.033
2020,65 and over,Cumulative,4187801.0,Actual,4.188
2021,65 and over,Cumulative,4314219.0,Actual,4.314
2022,65 and over,Cumulative,4433376.0,Actual,4.433
2023,65 and over,Cumulative,4560105.0,Actual,4.56
2024,65 and over,Cumulative,4697558.0,Actual,4.698
2025,65 and over,Cumulative,4839387.0,Actual,4.839
2026,65 and over,Cumulative,5079135.0,Projected,5.079
2027,65 and over,Cumulative,5246486.0,Projected,5.246
2028,65 and over,Cumulative,5411263.0,Projected,5.411
2029,65 and over,Cumulative,5567012.0,Projected,5.567
2030,65 and over,Cumulative,5708695.0,Projected,5.709
2031,65 and over,Cumulative,5840730.0,Projected,5.841
2032,65 and over,Cumulative,5966939.0,Projected,5.967
2033,65 and over,Cumulative,6092848.0,Projected,6.093
2034,65 and over,Cumulative,6224307.0,Projected,6.224
2035,65 and over,Cumulative,6353091.0,Projected,6.353
2036,65 and over,Cumulative,6496689.0,Projected,6.497
2037,65 and over,Cumulative,6630233.0,Projected,6.63
2038,65 and over,Cumulative,6745556.0,Projected,6.746
2039,65 and over,Cumulative,6847365.0,Projected,6.847
2040,65 and over,Cumulative,6938167.0,Projected,6.938
2041,65 and over,Cumulative,7020419.0,Projected,7.02
2042,65 and over,Cumulative,7096954.0,Projected,7.097
2043,65 and over,Cumulative,7170756.0,Projected,7.171
2044,65 and over,Cumulative,7248501.0,Projected,7.249
2045,65 and over,Cumulative,7329338.0,Projected,7.329
1971,65-74,Exclusive,698017.0,Actual,0.698
1972,65-74,Exclusive,718474.0,Actual,0.718
1973,65-74,Exclusive,741672.0,Actual,0.742
1974,65-74,Exclusive,766250.0,Actual,0.766
1975,65-74,Exclusive,781464.0,Actual,0.781
1976,65-74,Exclusive,804583.0,Actual,0.805
1977,65-74,Exclusive,830140.0,Actual,0.83
1978,65-74,Exclusive,857269.0,Actual,0.857
1979,65-74,Exclusive,886693.0,Actual,0.887
1980,65-74,Exclusive,913688.0,Actual,0.914
1981,65-74,Exclusive,937676.0,Actual,0.938
1982,65-74,Exclusive,960885.0,Actual,0.961
1983,65-74,Exclusive,976005.0,Actual,0.976
1984,65-74,Exclusive,989565.0,Actual,0.99
1985,65-74,Exclusive,1010678.0,Actual,1.011
1986,65-74,Exclusive,1043348.0,Actual,1.043
1987,65-74,Exclusive,1075149.0,Actual,1.075
1988,65-74,Exclusive,1101800.0,Actual,1.102
1989,65-74,Exclusive,1127854.0,Actual,1.128
1990,65-74,Exclusive,1150877.0,Actual,1.151
1991,65-74,Exclusive,1182145.0,Actual,1.182
1992,65-74,Exclusive,1208637.0,Actual,1.209
1993,65-74,Exclusive,1237064.0,Actual,1.237
1994,65-74,Exclusive,1264464.0,Actual,1.264
1995,65-74,Exclusive,1277447.0,Actual,1.277
1996,65-74,Exclusive,1288948.0,Actual,1.289
1997,65-74,Exclusive,1293537.0,Actual,1.294
1998,65-74,Exclusive,1296598.0,Actual,1.297
1999,65-74,Exclusive,1300015.0,Actual,1.3
2000,65-74,Exclusive,1302006.0,Actual,1.302
2001,65-74,Exclusive,1311961.0,Actual,1.312
2002,65-74,Exclusive,1324605.0,Actual,1.325
2003,65-74,Exclusive,1336825.0,Actual,1.337
2004,65-74,Exclusive,1353404.0,Actual,1.353
2005,65-74,Exclusive,1373971.0,Actual,1.374
2006,65-74,Exclusive,1397253.0,Actual,1.397
2007,65-74,Exclusive,1440885.0,Actual,1.441
2008,65-74,Exclusive,1485037.0,Actual,1.485
2009,65-74,Exclusive,1546161.0,Actual,1.546
2010,65-74,Exclusive,1613289.0,Actual,1.613
2011,65-74,Exclusive,1681931.0,Actual,1.682
2012,65-74,Exclusive,1776513.0,Actual,1.777
2013,65-74,Exclusive,1859053.0,Actual,1.859
2014,65-74,Exclusive,1932406.0,Actual,1.932
2015,65-74,Exclusive,2006690.0,Actual,2.007
2016,65-74,Exclusive,2083269.0,Actual,2.083
2017,65-74,Exclusive,2152872.0,Actual,2.153
2018,65-74,Exclusive,2227522.0,Actual,2.228
2019,65-74,Exclusive,2292045.0,Actual,2.292
2020,65-74,Exclusive,2373835.0,Actual,2.374
2021,65-74,Exclusive,2427302.0,Actual,2.427
2022,65-74,Exclusive,2447861.0,Actual,2.448
2023,65-74,Exclusive,2485945.0,Actual,2.486
2024,65-74,Exclusive,2533321.0,Actual,2.533
2025,65-74,Exclusive,2580672.0,Actual,2.581
2026,65-74,Exclusive,2703641.0,Projected,2.704
2027,65-74,Exclusive,2775585.0,Projected,2.776
2028,65-74,Exclusive,2843186.0,Projected,2.843
2029,65-74,Exclusive,2904151.0,Projected,2.904
2030,65-74,Exclusive,2949269.0,Projected,2.949
2031,65-74,Exclusive,2982457.0,Projected,2.982
2032,65-74,Exclusive,3010355.0,Projected,3.01
2033,65-74,Exclusive,3036798.0,Projected,3.037
2034,65-74,Exclusive,3067965.0,Projected,3.068
2035,65-74,Exclusive,3096950.0,Projected,3.097
2036,65-74,Exclusive,3136674.0,Projected,3.137
2037,65-74,Exclusive,3169984.0,Projected,3.17
2038,65-74,Exclusive,3189072.0,Projected,3.189
2039,65-74,Exclusive,3204047.0,Projected,3.204
2040,65-74,Exclusive,3221471.0,Projected,3.221
2041,65-74,Exclusive,3239420.0,Projected,3.239
2042,65-74,Exclusive,3256232.0,Projected,3.256
2043,65-74,Exclusive,3270135.0,Projected,3.27
2044,65-74,Exclusive,3282203.0,Projected,3.282
2045,65-74,Exclusive,3298748.0,Projected,3.299
1971,75 and over,Cumulative,392356.0,Actual,0.392
1972,75 and over,Cumulative,399832.0,Actual,0.4
1973,75 and over,Cumulative,407016.0,Actual,0.407
1974,75 and over,Cumulative,414908.0,Actual,0.415
1975,75 and over,Cumulative,430104.0,Actual,0.43
1976,75 and over,Cumulative,448244.0,Actual,0.448
1977,75 and over,Cumulative,457443.0,Actual,0.457
1978,75 and over,Cumulative,469543.0,Actual,0.47
1979,75 and over,Cumulative,483035.0,Actual,0.483
1980,75 and over,Cumulative,499589.0,Actual,0.5
1981,75 and over,Cumulative,517323.0,Actual,0.517
1982,75 and over,Cumulative,537883.0,Actual,0.538
1983,75 and over,Cumulative,559755.0,Actual,0.56
1984,75 and over,Cumulative,584221.0,Actual,0.584
1985,75 and over,Cumulative,610351.0,Actual,0.61
1986,75 and over,Cumulative,638763.0,Actual,0.639
1987,75 and over,Cumulative,664138.0,Actual,0.664
1988,75 and over,Cumulative,689583.0,Actual,0.69
1989,75 and over,Cumulative,718641.0,Actual,0.719
1990,75 and over,Cumulative,742504.0,Actual,0.743
1991,75 and over,Cumulative,768570.0,Actual,0.769
1992,75 and over,Cumulative,793211.0,Actual,0.793
1993,75 and over,Cumulative,815584.0,Actual,0.816
1994,75 and over,Cumulative,835361.0,Actual,0.835
1995,75 and over,Cumulative,865832.0,Actual,0.866
1996,75 and over,Cumulative,903291.0,Actual,0.903
1997,75 and over,Cumulative,943480.0,Actual,0.943
1998,75 and over,Cumulative,981906.0,Actual,0.982
1999,75 and over,Cumulative,1021611.0,Actual,1.022
2000,75 and over,Cumulative,1062254.0,Actual,1.062
2001,75 and over,Cumulative,1107109.0,Actual,1.107
2002,75 and over,Cumulative,1141064.0,Actual,1.141
2003,75 and over,Cumulative,1174502.0,Actual,1.175
2004,75 and over,Cumulative,1205453.0,Actual,1.205
