age_band,sex,value,year,series,share_pct,signed_population,signed_share_pct,band_sort
0-4,Female,738428,2025,2025 (actual),2.674,738428,2.674,0
5-9,Female,779432,2025,2025 (actual),2.823,779432,2.823,1
10-14,Female,817395,2025,2025 (actual),2.96,817395,2.96,2
15-19,Female,827398,2025,2025 (actual),2.997,827398,2.997,3
20-24,Female,870931,2025,2025 (actual),3.154,870931,3.154,4
25-29,Female,996347,2025,2025 (actual),3.609,996347,3.609,5
30-34,Female,1037136,2025,2025 (actual),3.756,1037136,3.756,6
35-39,Female,1017729,2025,2025 (actual),3.686,1017729,3.686,7
40-44,Female,962666,2025,2025 (actual),3.487,962666,3.487,8
45-49,Female,838072,2025,2025 (actual),3.035,838072,3.035,9
50-54,Female,856275,2025,2025 (actual),3.101,856275,3.101,10
55-59,Female,792287,2025,2025 (actual),2.869,792287,2.869,11
60-64,Female,788181,2025,2025 (actual),2.855,788181,2.855,12
65-69,Female,721709,2025,2025 (actual),2.614,721709,2.614,13
70-74,Female,625673,2025,2025 (actual),2.266,625673,2.266,14
75-79,Female,530871,2025,2025 (actual),1.923,530871,1.923,15
80-84,Female,345816,2025,2025 (actual),1.252,345816,1.252,16
85-89,Female,215755,2025,2025 (actual),0.781,215755,0.781,17
90-94,Female,102753,2025,2025 (actual),0.372,102753,0.372,18
95-99,Female,34314,2025,2025 (actual),0.124,34314,0.124,19
100+,Female,5237,2025,2025 (actual),0.019,5237,0.019,20
0-4,Male,778855,2025,2025 (actual),2.821,-778855,-2.821,0
5-9,Male,824425,2025,2025 (actual),2.986,-824425,-2.986,1
10-14,Male,865225,2025,2025 (actual),3.134,-865225,-3.134,2
15-19,Male,876888,2025,2025 (actual),3.176,-876888,-3.176,3
20-24,Male,943076,2025,2025 (actual),3.416,-943076,-3.416,4
25-29,Male,1028865,2025,2025 (actual),3.726,-1028865,-3.726,5
30-34,Male,1027702,2025,2025 (actual),3.722,-1027702,-3.722,6
35-39,Male,1000930,2025,2025 (actual),3.625,-1000930,-3.625,7
40-44,Male,950033,2025,2025 (actual),3.441,-950033,-3.441,8
45-49,Male,813062,2025,2025 (actual),2.945,-813062,-2.945,9
50-54,Male,830403,2025,2025 (actual),3.008,-830403,-3.008,10
55-59,Male,761642,2025,2025 (actual),2.758,-761642,-2.758,11
60-64,Male,748256,2025,2025 (actual),2.71,-748256,-2.71,12
65-69,Male,666256,2025,2025 (actual),2.413,-666256,-2.413,13
70-74,Male,567034,2025,2025 (actual),2.054,-567034,-2.054,14
75-79,Male,480349,2025,2025 (actual),1.74,-480349,-1.74,15
80-84,Male,298918,2025,2025 (actual),1.083,-298918,-1.083,16
