year,remoteness,remoteness_sort,population_65plus_000,share_of_places_pct,residential_places,places_per_1000_aged_65plus,occupancy_pct,vacancy_pct,national_occupancy_pct,occupancy_vs_national_pct_pts
2016,Major cities,0,2420.2,69.3,135707,56.1,92.4,7.6,92.3,0.1
2016,Inner regional,1,840.8,22.0,43082,51.2,92.5,7.5,92.3,0.2
2016,Outer regional,2,371.7,8.0,15666,42.1,92.0,8.0,92.3,-0.3
2016,Remote,3,37.6,0.6,1175,31.2,89.7,10.3,92.3,-2.6
2016,Very remote,4,19.7,0.2,392,19.9,80.0,20.0,92.3,-12.3
2017,Major cities,0,2495.5,69.7,139880,56.1,91.4,8.6,91.7,-0.3
2017,Inner regional,1,869.5,21.7,43550,50.1,92.7,7.3,91.7,1.0
2017,Outer regional,2,384.8,7.9,15854,41.2,92.2,7.8,91.7,0.5
2017,Remote,3,38.8,0.5,1003,25.9,91.7,8.3,91.7,0.0
2017,Very remote,4,21.1,0.2,401,19.0,77.4,22.6,91.7,-14.3
2018,Major cities,0,2588.7,70.4,145828,56.3,90.0,10.0,90.3,-0.3
2018,Inner regional,1,897.2,21.4,44328,49.4,91.4,8.6,90.3,1.1
2018,Outer regional,2,388.5,7.6,15743,40.5,90.8,9.2,90.3,0.5
2018,Remote,3,38.4,0.5,1036,27.0,88.4,11.6,90.3,-1.9
2018,Very remote,4,22.7,0.1,207,9.1,77.1,22.9,90.3,-13.2
2019,Major cities,0,2657.6,70.3,150018,56.4,88.9,11.1,89.4,-0.5
2019,Inner regional,1,918.7,21.4,45667,49.7,91.1,8.9,89.4,1.7
2019,Outer regional,2,391.1,7.7,16432,42.0,90.0,10.0,89.4,0.6
2019,Remote,3,40.8,0.5,1067,26.2,87.6,12.4,89.4,-1.8
2019,Very remote,4,17.8,0.1,213,12.0,71.9,28.1,89.4,-17.5
2020,Major cities,0,2733.5,70.6,153304,56.1,88.0,12.0,88.3,-0.3
2020,Inner regional,1,948.1,21.2,46035,48.6,89.8,10.2,88.3,1.5
2020,Outer regional,2,403.0,7.6,16503,41.0,87.2,12.8,88.3,-1.1
2020,Remote,3,42.1,0.5,1086,25.8,84.4,15.6,88.3,-3.9
2020,Very remote,4,18.5,0.1,217,11.7,72.6,27.4,88.3,-15.7
2021,Major cities,0,2814.9,70.4,154250,54.8,86.4,13.6,86.8,-0.4
2021,Inner regional,1,978.5,21.4,46888,47.9,88.4,11.6,86.8,1.6
2021,Outer regional,2,415.1,7.6,16652,40.1,86.9,13.1,86.8,0.1
2021,Remote,3,43.6,0.5,1096,25.1,83.5,16.5,86.8,-3.3
2021,Very remote,4,19.3,0.1,219,11.4,75.1,24.9,86.8,-11.7
2022,Major cities,0,2896.7,70.5,155075,53.5,85.9,14.1,86.2,-0.3
2022,Inner regional,1,1008.7,21.4,47073,46.7,87.3,12.7,86.2,1.1
2022,Outer regional,2,427.0,7.5,16497,38.6,86.6,13.4,86.2,0.4
2022,Remote,3,45.0,0.5,1100,24.4,80.3,19.7,86.2,-5.9
2022,Very remote,4,20.1,0.1,220,10.9,77.6,22.4,86.2,-8.6
2023,Major cities,0,2981.3,70.5,156134,52.4,86.2,13.8,86.1,0.1
2023,Inner regional,1,1039.2,21.5,47615,45.8,86.0,14.0,86.1,-0.1
2023,Outer regional,2,439.2,7.4,16389,37.3,86.5,13.5,86.1,0.4
2023,Remote,3,46.2,0.5,1107,24.0,77.6,22.4,86.1,-8.5
2023,Very remote,4,20.8,0.1,221,10.6,76.8,23.2,86.1,-9.3
2024,Major cities,0,3194.0,70.7,158150,49.5,88.3,11.7,88.0,0.3
2024,Inner regional,1,1053.4,21.4,47870,45.4,87.6,12.4,88.0,-0.4
2024,Outer regional,2,435.6,7.3,16329,37.5,87.5,12.5,88.0,-0.5
2024,Remote,3,45.3,0.5,1118,24.7,78.6,21.4,88.0,-9.4
2024,Very remote,4,21.0,0.1,224,10.7,73.6,26.4,88.0,-14.4
2025,Major cities,0,3332.1,71.2,159839,48.0,90.4,9.6,90.0,0.4
2025,Inner regional,1,1069.1,21.0,47144,44.1,89.2,10.8,90.0,-0.8
2025,Outer regional,2,441.5,7.3,16388,37.1,88.7,11.3,90.0,-1.3
2025,Remote,3,45.9,0.5,1122,24.5,83.0,17.0,90.0,-7.0
2025,Very remote,4,21.4,0.1,224,10.5,76.3,23.7,90.0,-13.7
