pop_year,state,population_65plus_000
2025,NSW,1570.9
2025,Vic,1218.9
2025,Qld,999.0
2025,WA,501.7
2025,SA,393.9
2025,Tas,129.8
2025,ACT,68.5
2025,NT,26.2
2025,Aust,4909.9
2024,NSW,1522.0
2024,Vic,1178.0
2024,Qld,964.6
2024,WA,483.2
2024,SA,383.0
2024,Tas,126.3
2024,ACT,66.1
2024,NT,25.0
2024,Aust,4749.3
2023,NSW,1473.4
2023,Vic,1144.2
2023,Qld,903.7
2023,WA,441.1
2023,SA,360.1
2023,Tas,118.9
2023,ACT,62.9
2023,NT,22.3
2023,Aust,4526.7
2022,NSW,1433.7
2022,Vic,1111.2
2022,Qld,875.4
2022,WA,427.1
2022,SA,351.7
2022,Tas,115.8
2022,ACT,61.0
2022,NT,21.6
2022,Aust,4397.5
2021,NSW,1395.0
2021,Vic,1079.3
2021,Qld,848.0
2021,WA,413.2
2021,SA,343.3
2021,Tas,112.8
2021,ACT,59.1
2021,NT,20.9
2021,Aust,4271.5
2020,NSW,1357.0
2020,Vic,1046.8
2020,Qld,820.6
2020,WA,398.9
2020,SA,335.0
2020,Tas,109.6
2020,ACT,57.1
2020,NT,20.1
2020,Aust,4145.3
2019,NSW,1320.8
2019,Vic,1016.5
2019,Qld,794.3
2019,WA,385.8
2019,SA,327.1
2019,Tas,106.8
2019,ACT,55.4
2019,NT,19.4
2019,Aust,4026.1
2018,NSW,1298.7
2018,Vic,985.7
2018,Qld,764.4
2018,WA,389.2
2018,SA,320.5
2018,Tas,103.4
2018,ACT,53.5
2018,NT,20.0
2018,Aust,3935.4
2017,NSW,1261.7
2017,Vic,954.6
2017,Qld,737.5
2017,WA,373.4
2017,SA,312.0
2017,Tas,100.3
2017,ACT,51.4
2017,NT,18.9
2017,Aust,3809.8
2016,NSW,1227.0
2016,Vic,925.0
2016,Qld,711.3
2016,WA,358.2
2016,SA,303.9
2016,Tas,97.2
2016,ACT,49.3
2016,NT,18.0
2016,Aust,3690.0
