cell,row,col,category,age_group
1,9,0,In permanent residential aged care,90 and over
2,9,1,In permanent residential aged care,90 and over
3,9,2,In permanent residential aged care,90 and over
4,9,3,In permanent residential aged care,90 and over
5,9,4,In permanent residential aged care,90 and over
6,9,5,In permanent residential aged care,90 and over
7,9,6,In permanent residential aged care,90 and over
8,9,7,In permanent residential aged care,90 and over
9,9,8,In permanent residential aged care,90 and over
10,9,9,In permanent residential aged care,90 and over
11,8,0,In permanent residential aged care,90 and over
12,8,1,In permanent residential aged care,90 and over
13,8,2,In permanent residential aged care,90 and over
14,8,3,In permanent residential aged care,90 and over
15,8,4,In permanent residential aged care,90 and over
16,8,5,In permanent residential aged care,90 and over
17,8,6,In permanent residential aged care,90 and over
18,8,7,In permanent residential aged care,90 and over
19,8,8,In permanent residential aged care,90 and over
20,8,9,In permanent residential aged care,90 and over
21,7,0,In permanent residential aged care,90 and over
22,7,1,In permanent residential aged care,90 and over
23,7,2,In permanent residential aged care,90 and over
24,7,3,In permanent residential aged care,90 and over
25,7,4,In permanent residential aged care,90 and over
26,7,5,In permanent residential aged care,90 and over
27,7,6,In permanent residential aged care,90 and over
28,7,7,In permanent residential aged care,90 and over
29,7,8,In permanent residential aged care,90 and over
30,7,9,In permanent residential aged care,90 and over
31,6,0,In permanent residential aged care,90 and over
32,6,1,In permanent residential aged care,90 and over
33,6,2,In permanent residential aged care,90 and over
34,6,3,In permanent residential aged care,90 and over
35,6,4,In permanent residential aged care,90 and over
36,6,5,In permanent residential aged care,90 and over
37,6,6,In permanent residential aged care,90 and over
38,6,7,In permanent residential aged care,90 and over
39,6,8,In permanent residential aged care,90 and over
40,6,9,In permanent residential aged care,90 and over
41,5,0,In permanent residential aged care,90 and over
42,5,1,Not in residential aged care,90 and over
43,5,2,Not in residential aged care,90 and over
44,5,3,Not in residential aged care,90 and over
45,5,4,Not in residential aged care,90 and over
46,5,5,Not in residential aged care,90 and over
47,5,6,Not in residential aged care,90 and over
48,5,7,Not in residential aged care,90 and over
49,5,8,Not in residential aged care,90 and over
50,5,9,Not in residential aged care,90 and over
51,4,0,Not in residential aged care,90 and over
52,4,1,Not in residential aged care,90 and over
53,4,2,Not in residential aged care,90 and over
54,4,3,Not in residential aged care,90 and over
55,4,4,Not in residential aged care,90 and over
56,4,5,Not in residential aged care,90 and over
57,4,6,Not in residential aged care,90 and over
58,4,7,Not in residential aged care,90 and over
59,4,8,Not in residential aged care,90 and over
60,4,9,Not in residential aged care,90 and over
61,3,0,Not in residential aged care,90 and over
62,3,1,Not in residential aged care,90 and over
63,3,2,Not in residential aged care,90 and over
64,3,3,Not in residential aged care,90 and over
65,3,4,Not in residential aged care,90 and over
66,3,5,Not in residential aged care,90 and over
67,3,6,Not in residential aged care,90 and over
68,3,7,Not in residential aged care,90 and over
69,3,8,Not in residential aged care,90 and over
70,3,9,Not in residential aged care,90 and over
71,2,0,Not in residential aged care,90 and over
72,2,1,Not in residential aged care,90 and over
73,2,2,Not in residential aged care,90 and over
74,2,3,Not in residential aged care,90 and over
75,2,4,Not in residential aged care,90 and over
76,2,5,Not in residential aged care,90 and over
77,2,6,Not in residential aged care,90 and over
78,2,7,Not in residential aged care,90 and over
79,2,8,Not in residential aged care,90 and over
80,2,9,Not in residential aged care,90 and over
81,1,0,Not in residential aged care,90 and over
82,1,1,Not in residential aged care,90 and over
83,1,2,Not in residential aged care,90 and over
84,1,3,Not in residential aged care,90 and over
85,1,4,Not in residential aged care,90 and over
86,1,5,Not in residential aged care,90 and over
87,1,6,Not in residential aged care,90 and over
88,1,7,Not in residential aged care,90 and over
89,1,8,Not in residential aged care,90 and over
90,1,9,Not in residential aged care,90 and over
91,0,0,Not in residential aged care,90 and over
92,0,1,Not in residential aged care,90 and over
93,0,2,Not in residential aged care,90 and over
94,0,3,Not in residential aged care,90 and over
95,0,4,Not in residential aged care,90 and over
96,0,5,Not in residential aged care,90 and over
97,0,6,Not in residential aged care,90 and over
98,0,7,Not in residential aged care,90 and over
99,0,8,Not in residential aged care,90 and over
100,0,9,Not in residential aged care,90 and over
