"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","SEIFA_IRSD","Service_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Description8","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"14A.1","2025","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Major cities","","","","Aged care target and planning population at 30 June","All people","65+ years old","Major Cities","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","1084.5","879.5","613.2","409.2","277.3","..","68.4","..","3332.1"
"14A.1","2025","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Inner regional","","","","Aged care target and planning population at 30 June","All people","65+ years old","Inner Regional","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","387.9","275.1","237.8","44.5","50.5","73.2","0.1","..","1069.1"
"14A.1","2025","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Outer regional","","","","Aged care target and planning population at 30 June","All people","65+ years old","Outer Regional","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","91.5","63.4","129.2","33.9","52.6","53.4","..","17.4","441.5"
"14A.1","2025","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Remote","","","","Aged care target and planning population at 30 June","All people","65+ years old","Remote","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","5.6","0.9","11.4","9.1","10.7","2.5","..","5.8","45.9"
"14A.1","2025","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Very remote","","","","Aged care target and planning population at 30 June","All people","65+ years old","Very Remote","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","1.3","..","7.5","5.1","2.8","0.7","..","3.0","21.4"
"14A.1","2025","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","65+ years old","All areas","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","1570.9","1218.9","999.0","501.7","393.9","129.8","68.5","26.2","4909.9"
"14A.1","2025","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Major cities","","","","Aged care target and planning population at 30 June","All people","70+ years old","Major Cities","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","775.2","630.5","441.2","293.2","201.4","..","48.4","..","2389.8"
"14A.1","2025","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Inner regional","","","","Aged care target and planning population at 30 June","All people","70+ years old","Inner Regional","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","276.3","191.6","166.9","29.1","36.1","53.1","0","..","753.1"
"14A.1","2025","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Outer regional","","","","Aged care target and planning population at 30 June","All people","70+ years old","Outer Regional","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","64.3","44.0","87.5","22.1","37.5","37.3","..","11.1","303.8"
"14A.1","2025","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Remote","","","","Aged care target and planning population at 30 June","All people","70+ years old","Remote","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","3.8","0.6","7.5","5.4","7.6","1.7","..","3.4","30.0"
"14A.1","2025","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Very remote","","","","Aged care target and planning population at 30 June","All people","70+ years old","Very Remote","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","0.9","..","4.7","2.8","1.8","0.6","..","1.6","13.0"
"14A.1","2025","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","70+ years old","All areas","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","1120.5","866.7","707.7","352.5","284.4","92.7","48.4","16.1","3489.6"
"14A.1","2025","Aged care target and planning populations (descriptive information)","50+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","","","","Aged care target and planning population at 30 June","Aboriginal and Torres Strait Islander people","50+ years old","","","","","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","69.5","15.6","54.5","23.1","10.2","7.9","1.6","14.8","197.4"
"14A.1","2025","Aged care target and planning populations (descriptive information)","50-64 years old","All people","Aboriginal and Torres Strait Islander people","All areas","","","","Aged care target and planning population at 30 June","Aboriginal and Torres Strait Islander people","50-64 years old","","","","","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","44.7","10.3","36.4","16.0","6.9","4.8","1.1","10.6","130.9"
"14A.1","2025","Aged care target and planning populations (descriptive information)","50-69 years old","All people","Aboriginal and Torres Strait Islander people","All areas","","","","Aged care target and planning population at 30 June","Aboriginal and Torres Strait Islander people","50-69 years old","","","","","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","54.7","12.5","43.9","19.2","8.3","6.0","1.4","12.6","158.7"
"14A.1","2025","Aged care target and planning populations (descriptive information)","50+ years old (Aboriginal and Torres Strait Islander people) and 65+ years old (non-Indigenous people)","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","50+ years old (Aboriginal and Torres Strait Islander) and 65+ years old (non-Indigenous)","","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","1615.5","1229.2","1035.5","517.6","400.8","134.6","69.6","36.8","5040.8"
"14A.1","2025","Aged care target and planning populations (descriptive information)","50+ years old (Aboriginal and Torres Strait Islander people) and 70+ years old (non-Indigenous people)","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","50+ years old (Aboriginal and Torres Strait Islander) and 70+ years old (non-Indigenous)","","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","1175.1","879.2","751.6","371.6","292.7","98.7","49.8","28.7","3648.3"
"14A.1","2025","Aged care target and planning populations (descriptive information)","All ages","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","Total","","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","8580.3","7023.3","5633.4","2927.0","1898.4","587.5","478.4","261.7","27395.0"
"14A.1","2024","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Major cities","","","","Aged care target and planning population at 30 June","All people","65+ years old","Major Cities","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","1043.3","839.9","587.5","387.9","269.3","..","66.0","..","3194.0"
"14A.1","2024","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Inner regional","","","","Aged care target and planning population at 30 June","All people","65+ years old","Inner Regional","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","381.6","273.6","232.2","45.5","49.1","71.2","0.1","..","1053.4"
"14A.1","2024","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Outer regional","","","","Aged care target and planning population at 30 June","All people","65+ years old","Outer Regional","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","90.3","63.6","126.5","35.2","51.4","52.0","..","16.6","435.6"
"14A.1","2024","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Remote","","","","Aged care target and planning population at 30 June","All people","65+ years old","Remote","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","5.5","0.9","11.1","9.4","10.5","2.4","..","5.6","45.3"
"14A.1","2024","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Very remote","","","","Aged care target and planning population at 30 June","All people","65+ years old","Very Remote","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","1.2","..","7.3","5.2","2.7","0.7","..","2.8","21.0"
"14A.1","2024","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","65+ years old","All areas","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","1522.0","1178.0","964.6","483.2","383.0","126.3","66.1","25.0","4749.3"
"14A.1","2024","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Major cities","","","","Aged care target and planning population at 30 June","All people","70+ years old","Major Cities","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","743.5","600.3","421.0","276.3","195.2","..","46.8","..","2283.0"
"14A.1","2024","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Inner regional","","","","Aged care target and planning population at 30 June","All people","70+ years old","Inner Regional","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","272.0","191.1","163.0","30.2","35.0","51.4","0","..","742.9"
"14A.1","2024","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Outer regional","","","","Aged care target and planning population at 30 June","All people","70+ years old","Outer Regional","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","63.4","44.3","85.6","23.3","36.6","36.2","..","10.6","300.0"
"14A.1","2024","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Remote","","","","Aged care target and planning population at 30 June","All people","70+ years old","Remote","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","3.8","0.6","7.3","5.7","7.4","1.6","..","3.3","29.6"
"14A.1","2024","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Very remote","","","","Aged care target and planning population at 30 June","All people","70+ years old","Very Remote","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","0.9","..","4.6","2.9","1.7","0.5","..","1.5","12.8"
"14A.1","2024","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","70+ years old","All areas","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","1083.5","836.4","681.5","338.4","275.9","89.8","46.9","15.3","3368.4"
"14A.1","2024","Aged care target and planning populations (descriptive information)","50+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","","","","Aged care target and planning population at 30 June","Aboriginal and Torres Strait Islander people","50+ years old","","","","","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","68.0","15.1","52.8","22.4","9.9","7.7","1.6","14.5","192.2"
"14A.1","2024","Aged care target and planning populations (descriptive information)","50-64 years old","All people","Aboriginal and Torres Strait Islander people","All areas","","","","Aged care target and planning population at 30 June","Aboriginal and Torres Strait Islander people","50-64 years old","","","","","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","44.4","10.1","35.7","15.7","6.8","4.8","1.1","10.5","129.2"
"14A.1","2024","Aged care target and planning populations (descriptive information)","50-69 years old","All people","Aboriginal and Torres Strait Islander people","All areas","","","","Aged care target and planning population at 30 June","Aboriginal and Torres Strait Islander people","50-69 years old","","","","","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","54.0","12.2","42.9","18.7","8.2","6.0","1.3","12.4","155.8"
"14A.1","2024","Aged care target and planning populations (descriptive information)","50+ years old (Aboriginal and Torres Strait Islander people) and 65+ years old (non-Indigenous people)","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","50+ years old (Aboriginal and Torres Strait Islander) and 65+ years old (non-Indigenous)","","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","1566.4","1188.2","1000.3","498.9","389.9","131.1","67.2","35.5","4878.6"
